@relation SemanalAcumulada_6-UltimasSemanas_6x1-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT2=1)

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311213,1,0,0,0,0,0,0,0,0,True
91311450,1,0,0,0,0,0,0,0,0,True
91311415,1,1,5,3,0,0,0,0,3,True
91311292,1,0,1,0,0,0,0,0,0,True
91311407,1,0,0,0,0,0,0,0,0,True
91311280,1,0,1,0,0,0,0,0,0,True
91021093,1,2,4,2,1,1,0,0,4,True
91211007,1,3,3,1,1,1,0,0,3,True
91311399,1,1,2,1,1,0,0,0,2,True
91311096,1,0,2,0,0,0,0,0,0,True
91311093,1,0,0,0,0,0,0,0,0,True
91311157,1,0,0,0,0,0,0,0,0,True
91311159,1,0,2,0,0,0,0,0,0,True
91311441,1,0,0,0,0,0,0,0,0,True
91311295,1,3,3,1,1,1,0,0,3,True
91211224,1,0,0,0,0,0,0,0,0,True
91311477,1,0,0,0,0,0,0,0,0,True
91111263,1,0,1,0,0,0,0,0,0,True
91311194,1,3,5,2,0,1,0,0,3,True
91311275,1,2,2,2,0,0,0,0,2,True
91311150,1,0,0,0,0,0,0,0,0,True
91211176,1,0,0,0,0,0,0,0,0,True
91311461,1,0,0,0,0,0,0,0,0,True
91021312,1,1,4,1,1,1,0,0,3,True
91311439,1,0,0,0,0,0,0,0,0,True
91311462,1,0,0,0,0,0,0,0,0,True
91311170,1,0,0,0,0,0,0,0,0,True
91111322,1,0,0,0,0,0,0,0,0,True
91211312,1,0,0,0,0,0,0,0,0,True
91311420,1,1,3,2,1,0,0,0,3,True
91311452,1,0,0,0,0,0,0,0,0,True
91311160,1,2,2,4,1,1,0,0,6,True
91211490,1,0,0,0,0,0,0,0,0,True
91311443,1,0,0,0,0,0,0,0,0,True
91211314,1,2,2,1,1,0,0,0,2,True
90821422,1,1,1,1,1,1,0,0,3,True
91311152,1,0,4,0,0,0,0,0,0,True
91311143,1,1,1,1,0,0,0,0,1,True
91211257,1,1,2,0,0,0,0,0,0,True
91311492,1,0,0,0,0,0,0,0,0,True
