@relation SemanalAcumulada_7-UltimasSemanas_7x1_reprovados

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311270,1,1,3,4,1,1,0,0,6,False
91311270,2,3,5,5,2,1,1,0,9,False
91311270,3,6,9,5,3,1,1,1,11,False
91311270,4,11,15,6,4,5,1,1,17,False
91311270,5,14,21,7,5,9,1,1,23,False
91311270,6,16,24,7,6,9,1,2,25,False
91311270,7,20,29,8,7,10,1,2,28,False
91311270,8,22,31,5,7,9,2,2,25,False
91311270,9,22,33,4,6,9,1,2,22,False
91311270,10,21,32,4,6,9,1,1,21,False
91311270,11,19,30,4,6,5,1,2,18,False
91311270,12,18,28,4,6,2,1,2,15,False
91311270,13,18,30,4,6,2,1,1,14,False
91311270,14,16,30,4,6,1,1,1,13,False
91311270,15,14,28,3,6,1,1,1,12,False
91311270,16,13,25,3,6,1,1,1,12,False
91311270,17,17,28,4,5,2,1,2,14,False
91311270,18,19,30,3,4,2,1,1,11,False
91311293,1,1,1,0,0,0,0,0,0,False
91311293,2,5,6,3,1,1,1,0,6,False
91311293,3,10,11,6,2,1,2,1,12,False
91311293,4,14,16,8,3,2,2,2,17,False
91311293,5,16,18,9,4,5,3,3,24,False
91311293,6,20,22,12,5,5,3,4,29,False
91311293,7,22,25,13,6,6,3,4,32,False
91311293,8,23,29,13,7,6,4,4,34,False
91311293,9,20,27,11,6,5,3,4,29,False
91311293,10,19,26,10,6,6,2,4,28,False
91311293,11,19,25,11,5,5,2,4,27,False
91311293,12,18,25,11,5,3,1,3,23,False
91311293,13,16,25,9,5,3,1,2,20,False
91311293,14,16,24,10,5,2,1,2,20,False
91311293,15,18,26,12,5,2,1,3,23,False
91311293,16,18,24,11,5,2,1,4,23,False
91311293,17,15,23,9,4,1,1,4,19,False
91311293,18,13,22,7,4,1,1,3,16,False
91311168,1,0,2,0,0,0,0,0,0,False
91311168,2,1,5,1,1,1,0,0,3,False
91311168,3,3,9,1,1,1,1,0,4,False
91311168,4,4,10,1,2,1,1,1,6,False
91311168,5,8,15,4,3,4,2,2,15,False
91311168,6,9,17,5,4,4,2,2,17,False
91311168,7,10,20,6,4,5,2,2,19,False
91311168,8,12,23,8,5,5,3,2,23,False
91311168,9,12,21,7,4,4,3,2,20,False
91311168,10,11,21,7,4,4,2,2,19,False
91311168,11,13,24,9,4,4,2,2,21,False
91311168,12,11,21,7,3,2,1,1,14,False
91311168,13,14,23,7,3,2,1,1,14,False
91311168,14,15,26,7,4,1,1,1,14,False
91311168,15,16,26,6,4,1,1,2,14,False
91311168,16,17,27,8,4,2,1,3,18,False
91311168,17,17,27,9,4,2,1,3,19,False
91311168,18,15,27,7,3,2,1,2,15,False
91311195,1,0,3,0,0,0,0,0,0,False
91311195,2,5,10,4,1,2,1,0,8,False
91311195,3,12,17,6,2,2,1,1,12,False
91311195,4,16,24,6,2,2,2,2,14,False
91311195,5,21,31,8,2,5,2,3,20,False
91311195,6,24,37,11,2,6,2,3,24,False
91311195,7,26,41,12,2,6,2,3,25,False
91311195,8,30,44,15,3,6,3,3,30,False
91311195,9,26,42,11,2,4,2,3,22,False
91311195,10,25,41,9,2,4,2,3,20,False
91311195,11,24,39,10,2,5,1,2,20,False
91311195,12,20,34,8,2,2,1,1,14,False
91311195,13,18,35,6,3,1,1,1,12,False
91311195,14,20,37,5,3,1,2,1,12,False
91311195,15,18,38,2,3,1,1,2,9,False
91311195,16,18,36,2,3,1,1,3,10,False
91311195,17,15,35,2,2,1,1,2,8,False
91311195,18,18,37,2,2,0,1,2,7,False
91211073,1,0,1,0,0,0,0,0,0,False
91211073,2,0,1,0,0,0,0,0,0,False
91211073,3,5,6,0,0,0,1,0,1,False
91211073,4,8,10,2,1,0,2,1,6,False
91211073,5,10,13,3,2,3,2,2,12,False
91211073,6,11,16,4,3,4,2,2,15,False
91211073,7,12,19,4,3,4,2,2,15,False
91211073,8,15,22,4,4,4,3,2,17,False
91211073,9,15,24,4,4,4,3,2,17,False
91211073,10,11,21,4,5,4,2,3,18,False
91211073,11,9,20,2,4,4,1,2,13,False
91211073,12,8,20,2,4,2,1,1,10,False
91211073,13,8,20,2,3,1,1,1,8,False
91211073,14,7,21,2,3,1,1,1,8,False
91211073,15,6,21,2,3,1,1,1,8,False
91211073,16,9,24,3,4,1,1,2,11,False
91211073,17,13,29,4,3,1,1,2,11,False
91211073,18,19,33,4,3,1,1,2,11,False
91311271,1,4,5,4,1,1,0,0,6,False
91311271,2,7,12,5,2,1,1,0,9,False
91311271,3,10,19,7,3,1,1,0,12,False
91311271,4,14,26,8,4,1,2,1,16,False
91311271,5,18,31,9,5,4,2,2,22,False
91311271,6,18,35,9,5,4,2,2,22,False
91311271,7,19,40,10,6,5,2,2,25,False
91311271,8,18,39,6,6,4,3,2,21,False
91311271,9,17,37,5,5,4,2,2,18,False
91311271,10,15,36,4,4,4,2,2,16,False
91311271,11,14,35,3,4,4,1,2,14,False
91311271,12,11,34,3,4,2,1,1,11,False
91311271,13,13,34,4,5,2,1,1,13,False
91311271,14,14,35,3,5,1,2,1,12,False
91311271,15,12,37,3,4,1,1,1,10,False
91311271,16,11,37,3,4,1,1,1,10,False
