@relation 'SemanalAcumulada_9-UltimasSemanas_9x2_reprovados-weka.filters.unsupervised.attribute.Remove-R1,10'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

1,1,3,4,1,1,0,0,False
2,3,5,5,2,1,1,0,False
3,6,9,5,3,1,1,1,False
4,11,15,6,4,5,1,1,False
5,14,21,7,5,9,1,1,False
6,16,24,7,6,9,1,2,False
7,20,29,8,7,10,1,2,False
8,23,34,9,8,10,2,2,False
9,25,38,9,8,10,2,2,False
10,26,38,5,8,9,2,2,False
11,27,40,5,8,9,1,3,False
12,26,40,6,8,10,1,2,False
13,23,39,5,8,6,1,2,False
14,22,38,5,8,2,1,2,False
15,21,38,5,8,2,2,1,False
16,18,34,4,7,1,2,1,False
17,21,35,4,6,2,1,2,False
18,24,37,4,6,2,1,2,False
1,1,1,0,0,0,0,0,False
2,5,6,3,1,1,1,0,False
3,10,11,6,2,1,2,1,False
4,14,16,8,3,2,2,2,False
5,16,18,9,4,5,3,3,False
6,20,22,12,5,5,3,4,False
7,22,25,13,6,6,3,4,False
8,24,30,13,7,6,4,4,False
9,25,33,14,7,6,4,4,False
10,28,36,16,8,7,4,5,False
11,28,35,16,7,6,3,6,False
12,24,32,14,7,7,2,5,False
13,22,31,13,7,6,2,4,False
14,22,31,14,7,3,1,3,False
15,22,34,13,7,3,2,3,False
16,21,32,12,6,2,2,4,False
17,20,30,12,5,2,1,5,False
18,21,30,12,5,2,1,5,False
1,0,2,0,0,0,0,0,False
2,1,5,1,1,1,0,0,False
3,3,9,1,1,1,1,0,False
4,4,10,1,2,1,1,1,False
5,8,15,4,3,4,2,2,False
6,9,17,5,4,4,2,2,False
7,10,20,6,4,5,2,2,False
8,12,25,8,5,5,3,2,False
9,13,26,8,5,5,3,2,False
10,14,28,8,5,5,3,2,False
11,16,29,9,5,4,3,3,False
12,16,27,10,5,5,2,3,False
13,19,30,11,5,5,2,2,False
14,17,31,9,5,2,1,1,False
15,19,34,9,5,2,2,2,False
16,20,33,10,5,2,2,3,False
17,19,32,9,4,2,1,3,False
18,19,35,9,4,2,1,3,False
1,0,3,0,0,0,0,0,False
2,5,10,4,1,2,1,0,False
3,12,17,6,2,2,1,1,False
4,16,24,6,2,2,2,2,False
5,21,31,8,2,5,2,3,False
6,24,37,11,2,6,2,3,False
7,26,41,12,2,6,2,3,False
8,30,47,15,3,6,3,3,False
9,31,52,15,3,6,3,3,False
10,37,55,15,4,6,3,4,False
11,35,53,12,3,5,2,4,False
12,29,48,10,2,5,2,3,False
13,26,48,11,3,5,1,2,False
14,25,47,9,3,2,2,1,False
15,24,48,6,4,1,2,2,False
16,23,47,5,4,1,2,3,False
17,22,46,2,3,1,1,3,False
18,27,48,3,3,1,1,3,False
1,0,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0,False
3,5,6,0,0,0,1,0,False
4,8,10,2,1,0,2,1,False
5,10,13,3,2,3,2,2,False
6,11,16,4,3,4,2,2,False
7,12,19,4,3,4,2,2,False
8,15,23,4,4,4,3,2,False
9,15,25,4,4,4,3,2,False
10,16,26,4,5,4,3,3,False
11,17,29,4,5,4,3,3,False
12,13,27,5,6,5,2,3,False
13,11,26,4,5,5,1,2,False
14,9,27,3,4,2,1,1,False
15,10,28,2,4,1,2,1,False
16,12,30,3,5,1,2,2,False
17,14,33,4,4,1,1,3,False
18,21,38,4,4,1,1,3,False
1,4,5,4,1,1,0,0,False
2,7,12,5,2,1,1,0,False
3,10,19,7,3,1,1,0,False
4,14,26,8,4,1,2,1,False
5,18,31,9,5,4,2,2,False
6,18,35,9,5,4,2,2,False
7,19,40,10,6,5,2,2,False
8,22,44,10,7,5,3,2,False
9,24,49,10,7,5,3,2,False
10,21,50,7,6,4,3,2,False
11,21,49,6,6,4,2,3,False
12,19,46,5,6,5,2,3,False
13,17,43,5,6,5,1,2,False
14,15,44,4,6,2,2,1,False
15,16,46,4,6,2,2,1,False
16,16,46,3,5,1,2,1,False
17,13,46,3,4,1,1,1,False
18,14,46,5,4,1,1,1,False
1,0,0,0,0,0,0,0,False
2,2,2,0,0,0,1,0,False
3,5,6,2,1,1,1,1,False
4,7,9,3,2,1,1,2,False
5,9,12,4,3,4,1,3,False
6,12,15,6,4,4,1,4,False
7,14,18,7,4,5,1,4,False
8,17,23,9,5,5,1,4,False
9,20,26,9,5,5,1,4,False
10,22,29,9,5,5,1,4,False
11,25,33,10,6,5,0,5,False
12,24,32,9,6,5,0,4,False
13,24,31,9,5,5,0,3,False
14,24,30,8,4,2,0,2,False
15,23,30,6,4,2,1,2,False
16,23,29,5,4,1,1,3,False
17,25,30,3,3,1,1,4,False
18,27,32,3,3,1,1,4,False
1,0,0,0,0,0,0,0,False
2,2,4,3,1,1,1,0,False
3,5,9,3,2,1,1,0,False
4,7,14,3,3,1,1,1,False
5,11,20,4,4,4,2,2,False
6,14,25,6,4,5,2,2,False
7,15,28,6,5,5,2,2,False
8,17,35,8,6,5,3,2,False
9,18,40,9,6,5,3,2,False
10,19,43,9,6,5,3,2,False
11,20,45,8,6,5,2,3,False
12,21,45,9,5,5,2,3,False
13,19,43,9,4,5,2,2,False
14,18,42,9,4,2,2,1,False
15,19,44,8,4,1,2,2,False
16,19,47,8,3,1,2,2,False
17,21,47,6,2,1,1,2,False
18,26,49,5,2,1,1,2,False
1,1,3,1,0,0,0,0,False
2,4,8,3,1,1,1,0,False
3,7,13,4,2,1,1,0,False
4,12,19,6,3,4,1,1,False
5,18,26,7,4,4,1,2,False
6,22,32,8,5,5,1,2,False
7,25,36,8,6,5,1,2,False
8,28,43,9,7,5,2,2,False
9,31,49,9,7,5,2,2,False
10,33,52,8,8,5,2,2,False
11,33,52,6,8,4,1,3,False
12,31,52,6,8,5,1,3,False
13,28,49,5,8,2,1,2,False
14,25,47,4,8,2,1,1,False
15,23,45,3,8,1,2,1,False
16,22,45,4,7,1,2,2,False
17,22,45,3,6,1,1,2,False
18,26,46,3,6,1,1,2,False
1,2,3,4,1,1,0,0,False
2,5,6,7,2,2,1,0,False
3,10,11,8,3,2,1,1,False
4,15,18,9,4,7,2,1,False
5,17,23,9,5,7,2,2,False
6,20,28,10,6,8,2,2,False
7,23,34,11,7,8,2,2,False
8,27,41,12,8,8,3,2,False
9,29,45,12,8,8,3,2,False
10,31,47,8,8,7,3,3,False
11,31,49,7,8,8,2,3,False
12,28,49,6,7,8,2,2,False
13,25,47,7,7,3,1,2,False
14,26,48,8,7,3,1,1,False
15,28,49,7,7,2,2,2,False
16,29,48,6,7,2,2,3,False
17,28,47,5,6,2,1,3,False
18,31,49,5,6,2,1,3,False
1,0,2,0,0,0,0,0,False
2,2,6,1,1,0,1,0,False
3,5,10,4,2,3,2,1,False
4,11,17,6,3,7,3,1,False
5,12,23,6,3,7,3,2,False
6,17,29,7,3,8,3,2,False
7,22,34,7,4,8,4,2,False
8,28,41,10,5,9,4,2,False
9,32,48,10,5,9,4,2,False
10,37,53,10,6,9,4,3,False
11,39,55,10,5,10,3,4,False
12,41,58,8,4,7,2,3,False
13,40,58,6,4,3,2,3,False
14,42,59,6,4,3,2,2,False
15,42,60,8,5,2,2,3,False
16,41,60,10,4,2,1,4,False
17,42,60,8,3,1,1,4,False
18,45,60,10,3,1,1,4,False
1,2,2,2,0,0,0,0,False
2,5,7,4,0,1,0,0,False
3,8,12,7,1,1,1,1,False
4,13,17,8,2,2,1,2,False
