@relation SemanalAcumulada_8-UltimasSemanas_8x2

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311429,2,2,4,3,1,1,1,0,6,False
91311429,3,5,9,3,2,1,1,0,7,False
91311429,4,7,14,3,3,1,1,1,9,False
91311429,5,11,20,4,4,4,2,2,16,False
91311429,6,14,25,6,4,5,2,2,19,False
91311429,7,15,28,6,5,5,2,2,20,False
91311429,8,17,35,8,6,5,3,2,24,False
91311429,9,18,40,9,6,5,3,2,25,False
91311429,10,17,39,6,5,4,2,2,19,False
91311429,11,17,40,8,5,5,2,3,23,False
91311429,12,19,40,9,4,5,2,2,22,False
91311429,13,15,37,8,3,2,1,1,15,False
91311429,14,15,37,7,4,1,2,1,15,False
91311429,15,18,41,8,3,1,2,2,16,False
91311429,16,17,40,6,2,1,1,2,12,False
91311429,17,20,42,5,2,1,1,2,11,False
91311429,18,25,46,5,2,1,1,2,11,False
91311149,1,1,3,1,0,0,0,0,1,False
91311149,2,4,8,3,1,1,1,0,6,False
91311149,3,7,13,4,2,1,1,0,8,False
91311149,4,12,19,6,3,4,1,1,15,False
91311149,5,18,26,7,4,4,1,2,18,False
91311149,6,22,32,8,5,5,1,2,21,False
91311149,7,25,36,8,6,5,1,2,22,False
91311149,8,28,43,9,7,5,2,2,25,False
91311149,9,30,46,8,7,5,2,2,24,False
91311149,10,30,47,6,7,4,1,2,20,False
91311149,11,30,47,5,7,4,1,3,20,False
91311149,12,26,46,4,7,2,1,2,16,False
91311149,13,22,42,4,7,2,1,1,15,False
91311149,14,21,41,3,7,1,1,1,13,False
91311149,15,20,41,3,7,1,2,1,14,False
91311149,16,19,38,3,6,1,1,2,13,False
91311149,17,19,39,3,6,1,1,2,13,False
91311149,18,23,40,3,5,1,1,2,12,False
91311087,1,2,3,4,1,1,0,0,6,False
91311087,2,5,6,7,2,2,1,0,12,False
91311087,3,10,11,8,3,2,1,1,15,False
91311087,4,15,18,9,4,7,2,1,23,False
91311087,5,17,23,9,5,7,2,2,25,False
91311087,6,20,28,10,6,8,2,2,28,False
91311087,7,23,34,11,7,8,2,2,30,False
91311087,8,27,41,12,8,8,3,2,33,False
91311087,9,27,42,8,7,7,3,2,27,False
91311087,10,28,44,5,7,6,2,3,23,False
91311087,11,26,44,6,7,8,2,2,25,False
91311087,12,23,42,5,6,3,1,2,17,False
91311087,13,23,42,7,6,3,1,1,18,False
91311087,14,23,43,7,6,2,1,1,17,False
91311087,15,25,43,6,6,2,2,2,18,False
91311087,16,25,41,5,6,2,1,3,17,False
91311087,17,26,43,5,6,2,1,3,17,False
91311087,18,27,44,5,5,2,1,2,15,False
91311161,1,0,2,0,0,0,0,0,0,False
91311161,2,2,6,1,1,0,1,0,3,False
91311161,3,5,10,4,2,3,2,1,12,False
91311161,4,11,17,6,3,7,3,1,20,False
91311161,5,12,23,6,3,7,3,2,21,False
91311161,6,17,29,7,3,8,3,2,23,False
91311161,7,22,34,7,4,8,4,2,25,False
91311161,8,28,41,10,5,9,4,2,30,False
91311161,9,32,46,10,5,9,4,2,30,False
91311161,10,35,49,9,5,9,3,3,29,False
91311161,11,36,51,7,4,7,2,3,23,False
91311161,12,35,51,6,3,3,1,3,16,False
91311161,13,39,52,6,4,3,2,2,17,False
