@relation SemanalAcumulada_6-UltimasSemanas_6x1_reprovados

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311429,1,0,0,0,0,0,0,0,0,False
91311429,2,2,4,3,1,1,1,0,6,False
91311429,3,5,9,3,2,1,1,0,7,False
91311429,4,7,14,3,3,1,1,1,9,False
91311429,5,11,20,4,4,4,2,2,16,False
91311429,6,14,25,6,4,5,2,2,19,False
91311429,7,15,28,6,5,5,2,2,20,False
91311429,8,15,31,5,5,4,2,2,18,False
91311429,9,13,31,6,4,4,2,2,18,False
91311429,10,12,29,6,3,4,2,1,16,False
91311429,11,11,29,7,3,2,1,1,14,False
91311429,12,12,29,6,3,1,1,1,12,False
91311429,13,11,29,6,2,1,1,1,11,False
91311429,14,12,27,5,2,1,1,1,10,False
91311429,15,15,29,5,2,1,1,2,11,False
91311429,16,15,32,5,2,1,1,2,11,False
91311429,17,16,33,3,1,0,1,1,6,False
91311429,18,18,35,2,1,0,1,1,5,False
91311149,1,1,3,1,0,0,0,0,1,False
91311149,2,4,8,3,1,1,1,0,6,False
91311149,3,7,13,4,2,1,1,0,8,False
91311149,4,12,19,6,3,4,1,1,15,False
91311149,5,18,26,7,4,4,1,2,18,False
91311149,6,22,32,8,5,5,1,2,21,False
91311149,7,24,33,7,6,5,1,2,21,False
91311149,8,24,35,6,6,4,1,2,19,False
91311149,9,24,36,5,5,4,1,2,17,False
91311149,10,22,36,3,5,1,1,1,11,False
91311149,11,19,34,2,5,1,1,1,10,False
91311149,12,16,33,2,5,1,1,1,10,False
91311149,13,15,32,3,5,1,1,1,11,False
91311149,14,15,30,2,5,1,0,1,9,False
91311149,15,14,28,2,6,1,1,1,11,False
91311149,16,13,26,3,5,1,1,2,12,False
91311149,17,13,28,3,4,1,1,1,10,False
91311149,18,19,30,2,3,0,1,1,7,False
91311087,1,2,3,4,1,1,0,0,6,False
91311087,2,5,6,7,2,2,1,0,12,False
91311087,3,10,11,8,3,2,1,1,15,False
91311087,4,15,18,9,4,7,2,1,23,False
91311087,5,17,23,9,5,7,2,2,25,False
91311087,6,20,28,10,6,8,2,2,28,False
91311087,7,21,31,7,6,7,2,2,24,False
91311087,8,22,35,5,6,6,2,2,21,False
91311087,9,19,34,4,5,6,2,1,18,False
91311087,10,18,32,3,5,1,1,2,12,False
91311087,11,19,32,5,5,3,1,1,15,False
91311087,12,18,32,4,4,2,1,1,12,False
91311087,13,17,31,5,4,2,1,1,13,False
91311087,14,16,30,5,4,2,0,1,12,False
91311087,15,19,32,5,5,2,1,2,15,False
91311087,16,19,32,5,5,2,1,2,15,False
91311087,17,19,33,3,4,0,1,2,10,False
91311087,18,22,34,3,4,0,1,2,10,False
91311161,1,0,2,0,0,0,0,0,0,False
