@relation 'SemanalAcumulada_6-UltimasSemanas_6x1_reprovados-weka.filters.unsupervised.attribute.Remove-R1,10'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data
7,21,31,7,6,7,2,2,False
8,22,35,5,6,6,2,2,False
9,19,34,4,5,6,2,1,False
10,18,32,3,5,1,1,2,False
11,19,32,5,5,3,1,1,False
12,18,32,4,4,2,1,1,False
13,17,31,5,4,2,1,1,False
14,16,30,5,4,2,0,1,False
15,19,32,5,5,2,1,2,False
16,19,32,5,5,2,1,2,False
17,19,33,3,4,0,1,2,False
18,22,34,3,4,0,1,2,False
1,0,2,0,0,0,0,0,False
2,2,6,1,1,0,1,0,False
3,5,10,4,2,3,2,1,False
4,11,17,6,3,7,3,1,False
5,12,23,6,3,7,3,2,False
6,17,29,7,3,8,3,2,False
7,22,32,7,4,8,4,2,False
8,26,35,9,4,9,3,2,False
9,27,38,6,3,6,2,1,False
10,26,38,4,3,2,1,2,False
11,29,38,5,3,3,1,2,False
12,29,39,5,3,2,1,2,False
13,29,41,5,3,2,1,2,False
14,26,41,2,2,1,1,2,False
15,27,41,5,3,1,1,3,False
16,26,39,7,2,1,1,3,False
17,29,40,7,2,0,1,2,False
18,31,40,8,2,0,1,2,False
1,2,2,2,0,0,0,0,False
2,5,7,4,0,1,0,0,False
3,8,12,7,1,1,1,1,False
4,13,17,8,2,2,1,2,False
5,17,21,9,3,4,2,3,False
6,20,25,10,4,4,2,4,False
7,22,27,9,5,5,2,4,False
8,22,28,8,5,4,3,4,False
9,21,28,6,4,4,2,3,False
10,18,27,6,4,3,2,3,False
11,19,28,7,4,1,1,3,False
12,19,28,7,3,2,1,2,False
13,17,29,7,2,1,1,2,False
14,15,26,7,3,1,0,2,False
15,17,27,8,4,1,1,3,False
16,18,26,9,3,1,1,3,False
17,17,25,7,2,1,1,3,False
18,18,25,6,2,0,1,3,False
1,3,5,4,1,1,0,0,False
2,6,11,6,2,2,1,0,False
3,8,16,6,3,2,1,1,False
4,10,22,6,4,2,1,2,False
5,10,25,6,4,2,1,2,False
6,15,31,8,5,6,1,3,False
7,13,30,5,4,5,1,3,False
8,13,30,4,4,4,0,3,False
9,14,30,6,3,4,1,2,False
10,14,28,6,3,4,1,2,False
11,19,30,7,3,4,1,3,False
12,16,29,6,2,1,1,2,False
13,15,29,5,2,1,1,2,False
14,12,25,4,1,1,1,2,False
15,13,27,3,2,1,1,3,False
16,13,29,3,1,1,1,3,False
17,11,30,2,1,1,1,2,False
18,15,32,2,1,0,1,2,False
1,0,0,0,0,0,0,0,False
2,4,7,4,1,0,0,0,False
3,10,14,5,2,0,1,1,False
4,14,20,6,3,4,1,2,False
5,18,27,6,4,4,1,3,False
6,22,34,8,5,5,1,3,False
7,27,40,9,6,5,2,3,False
8,27,38,5,6,5,2,3,False
9,25,38,4,5,5,1,2,False
10,27,38,4,5,1,1,2,False
11,27,35,5,5,2,1,1,False
12,25,32,3,4,1,1,1,False
13,23,30,3,4,1,1,1,False
14,21,31,3,3,1,1,1,False
15,19,30,3,4,1,1,2,False
16,15,27,2,3,1,1,1,False
17,12,24,1,2,0,1,1,False
18,16,26,4,2,0,1,1,False
1,0,0,0,0,0,0,0,False
2,3,5,3,0,1,1,0,False
3,7,9,3,1,1,1,1,False
4,11,14,4,2,4,2,1,False
5,13,17,6,3,5,2,2,False
6,15,21,8,3,5,2,2,False
7,17,25,9,4,6,2,2,False
8,16,24,8,5,5,2,2,False
9,12,22,8,4,5,2,1,False
10,10,21,8,3,2,1,2,False
11,10,20,7,2,1,1,1,False
12,9,19,5,2,1,1,1,False
13,9,18,6,1,1,1,1,False
14,9,18,4,1,1,1,1,False
15,10,20,4,1,1,1,1,False
16,11,19,3,2,1,1,1,False
17,15,23,2,2,1,1,1,False
18,20,26,4,2,2,1,1,False
1,0,0,0,0,0,0,0,False
2,4,5,1,1,0,1,0,False
3,10,12,2,2,0,1,1,False
4,14,19,4,3,3,2,1,False
5,20,26,5,4,3,2,2,False
6,25,33,6,5,4,2,2,False
7,31,40,8,6,4,3,2,False
8,32,42,10,6,4,2,2,False
9,33,42,10,6,4,2,1,False
10,35,41,8,6,1,1,2,False
11,35,40,8,6,2,1,1,False
12,35,39,8,5,1,1,1,False
13,35,38,10,5,1,0,1,False
14,35,38,7,5,1,1,1,False
15,34,38,6,5,1,1,2,False
16,32,39,6,4,1,1,1,False
17,31,40,6,3,0,1,1,False
18,33,41,5,3,0,1,1,False
1,0,2,0,0,0,0,0,False
2,4,7,2,1,1,1,0,False
3,6,13,3,1,1,2,0,False
4,8,18,4,2,1,2,1,False
