@relation 'SemanalAcumulada_8-UltimasSemanas_8x2_reprovados-weka.filters.unsupervised.attribute.Remove-R1,10-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT1=15)'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

15,17,33,4,7,1,2,1,False
15,20,31,12,6,2,2,3,False
15,18,31,8,5,1,2,2,False
15,22,44,5,4,1,2,2,False
15,9,25,2,4,1,2,1,False
15,15,41,3,5,1,2,1,False
15,21,27,5,4,1,1,2,False
15,18,41,8,3,1,2,2,False
15,20,41,3,7,1,2,1,False
15,25,43,6,6,2,2,2,False
15,37,55,8,4,2,1,3,False
15,22,38,10,4,1,2,3,False
15,19,38,6,3,1,2,3,False
15,27,42,3,5,1,1,2,False
15,12,26,6,2,1,2,1,False
15,46,52,10,7,1,1,2,False
15,14,29,7,4,1,1,3,False
15,23,34,3,6,1,2,1,False
15,17,29,5,3,4,2,2,False
15,24,38,3,6,1,2,3,False
15,49,51,22,5,7,1,2,False
15,23,39,2,7,1,2,3,False
15,31,37,7,5,1,2,3,False
15,34,44,8,4,1,2,2,False
15,24,38,9,6,1,2,3,False
15,19,36,7,3,4,2,1,False
15,26,40,8,6,1,2,3,False
15,48,56,6,4,2,2,2,False
15,30,42,4,7,1,2,2,False
15,7,14,2,4,1,1,0,False
15,13,23,1,7,1,2,2,False
15,23,42,7,6,1,2,1,False
15,16,48,8,4,4,2,2,False
15,22,31,13,5,2,2,3,False
15,18,30,0,6,0,2,2,False
15,24,40,4,2,1,2,2,False
15,15,17,3,2,1,1,1,False
15,12,33,5,5,0,1,1,False
15,15,39,10,5,5,2,3,False
15,19,35,6,7,1,2,2,False
15,14,31,13,5,1,1,3,False
15,19,44,5,5,1,2,3,False
15,16,27,1,5,0,2,2,False
15,30,47,6,7,1,2,3,False
15,16,33,5,4,1,2,1,False
15,22,45,5,3,1,2,3,False
15,24,35,7,6,1,2,2,False
15,20,28,3,5,1,2,3,False
15,20,41,3,3,1,2,2,False
15,16,24,1,3,1,2,1,False
15,16,28,6,3,2,1,2,False
15,13,40,6,4,3,1,2,False
15,20,24,1,5,0,1,2,False
15,21,43,2,5,1,2,2,False
15,12,39,3,3,1,2,3,False
15,12,20,3,4,1,1,1,False
15,7,9,1,1,0,0,1,False
15,18,29,7,6,1,0,1,False
15,23,46,5,5,1,2,2,False
15,17,19,1,2,3,1,1,False
15,20,25,6,4,0,0,2,False
15,7,20,1,3,0,0,1,False
15,17,23,3,5,0,0,3,False
15,8,27,1,5,0,0,2,False
15,11,28,1,3,0,2,1,False
15,4,14,0,2,0,2,1,False
15,11,33,0,0,0,1,1,False
15,35,47,5,6,1,2,2,False
15,6,17,0,2,0,2,1,False
15,13,13,1,2,0,0,1,False
15,32,45,7,3,1,1,2,False
15,11,19,1,2,1,0,2,False
15,9,23,1,3,0,0,2,False
15,30,39,4,1,0,1,2,False
15,12,18,4,4,0,1,2,False
15,10,18,5,1,1,1,2,True
15,20,28,8,4,1,2,3,False
15,11,31,2,2,1,0,1,False
15,5,28,0,2,0,1,2,False
15,8,25,1,1,0,0,1,True
15,10,22,7,2,0,1,3,True
15,9,19,8,4,0,1,1,True
15,3,9,0,0,0,0,1,True
15,13,13,1,2,0,0,1,True
15,11,18,3,1,0,1,3,False
15,18,33,7,4,0,0,3,True
15,15,18,3,4,0,1,2,False
15,7,13,3,3,0,1,0,True
15,5,23,1,2,0,0,1,False
15,3,24,0,1,0,0,0,True
