@relation 'SemanalAcumulada_9-MediaFinal_2-weka.filters.unsupervised.attribute.Remove-R1,10-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT1=10)'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

10,26,38,5,8,9,2,2,False
10,28,36,16,8,7,4,5,False
10,14,28,8,5,5,3,2,False
10,37,55,15,4,6,3,4,False
10,16,26,4,5,4,3,3,False
10,21,50,7,6,4,3,2,False
10,22,29,9,5,5,1,4,False
10,19,43,9,6,5,3,2,False
10,33,52,8,8,5,2,2,False
10,31,47,8,8,7,3,3,False
10,37,53,10,6,9,4,3,False
10,29,42,12,6,5,3,5,False
10,21,45,8,6,5,2,4,False
10,41,58,10,8,5,2,4,False
10,21,35,12,5,6,3,3,False
10,49,60,12,9,4,3,3,False
10,18,38,9,6,2,2,3,False
10,29,41,10,7,4,2,2,False
10,21,40,10,2,5,3,2,False
10,28,41,7,7,4,2,5,False
10,48,51,16,8,7,3,3,False
10,32,43,6,8,5,2,3,False
10,44,50,11,4,4,3,5,False
10,40,49,17,7,4,3,3,False
10,32,45,16,5,5,3,5,False
10,27,42,13,2,7,3,3,False
10,34,51,9,6,5,3,4,False
10,56,59,8,6,4,2,3,False
10,35,52,10,8,4,2,3,False
10,8,16,6,5,3,1,2,False
10,17,28,6,5,2,2,2,False
10,22,39,10,5,2,1,2,False
10,17,43,13,4,5,2,4,False
10,29,37,18,6,7,3,5,False
10,22,36,9,7,5,3,2,False
10,24,41,7,5,2,2,2,False
10,15,21,9,5,5,2,2,False
10,16,35,3,4,2,2,1,False
10,19,42,8,3,4,2,4,False
10,33,45,12,8,4,3,3,False
10,22,41,21,6,12,2,3,False
10,11,39,9,3,4,3,3,False
10,22,38,6,7,3,2,3,False
10,25,43,10,6,4,1,3,False
10,31,43,8,5,4,3,2,False
10,25,51,9,5,5,2,4,False
10,20,42,11,5,4,2,3,False
10,28,37,5,7,4,2,3,False
10,31,51,8,4,5,3,4,False
10,20,30,6,5,2,2,3,False
10,17,33,6,4,6,1,3,False
10,17,43,7,3,1,1,3,False
10,28,31,5,5,2,1,2,False
10,23,45,4,7,2,3,3,False
10,16,43,5,5,3,2,4,False
10,25,37,11,7,5,2,2,False
10,12,22,3,3,4,1,2,False
10,15,24,8,6,3,0,2,False
10,26,51,13,6,2,2,3,False
10,15,20,2,5,4,1,2,False
10,16,30,1,4,0,1,1,False
10,12,25,5,4,4,1,2,False
10,18,28,8,6,2,1,5,False
10,16,32,13,7,4,2,4,False
10,14,32,6,4,0,3,2,False
10,9,20,0,2,0,2,2,False
10,24,40,14,5,7,1,3,False
10,40,55,11,7,1,1,2,False
10,9,23,2,4,1,2,2,False
10,13,13,0,0,0,1,0,False
10,33,55,14,6,3,2,4,False
10,21,31,6,5,2,3,2,False
10,7,22,2,2,0,0,3,False
10,36,49,8,5,5,2,4,False
10,13,23,3,2,3,1,3,False
10,17,42,6,4,2,2,4,False
10,36,47,19,8,13,4,3,False
10,15,32,5,2,2,1,1,False
10,12,45,0,4,0,3,4,False
10,19,32,13,5,5,2,2,False
10,25,44,14,5,6,2,3,False
10,7,14,2,4,0,1,2,False
10,10,25,5,3,4,2,2,False
10,14,14,0,3,0,0,2,False
10,15,27,9,2,3,1,5,False
10,27,44,16,6,4,2,5,False
10,22,26,6,7,4,2,2,False
10,16,25,5,6,4,2,2,False
10,11,29,1,3,0,1,2,False
10,7,25,3,1,0,0,1,False
10,13,36,3,3,0,0,2,False
10,12,19,1,3,0,1,4,False
10,19,40,7,7,7,3,3,False
10,25,40,9,5,1,2,3,False
10,11,18,6,4,0,2,1,False
10,11,29,2,4,1,2,4,False
10,17,34,7,5,6,2,3,False
10,15,34,5,5,5,1,2,False
10,28,45,18,7,6,2,5,False
10,24,36,3,6,8,2,2,False
10,10,24,9,4,2,1,1,False
10,11,14,3,2,4,2,2,False
10,15,26,2,3,0,1,2,False
10,15,25,6,5,0,0,1,False
10,16,35,2,5,0,3,3,False
10,24,44,6,6,3,2,3,False
10,8,33,8,1,3,1,2,False
10,4,9,1,1,0,0,3,False
10,0,4,0,0,0,0,0,True
10,7,32,0,0,0,0,3,True
10,13,24,6,1,3,3,2,True
10,20,27,5,2,5,1,4,True
10,9,27,4,4,5,1,2,True
10,25,34,14,4,1,2,2,True
10,11,14,6,5,7,2,1,True
10,28,40,7,4,1,3,5,True
10,10,45,2,3,0,0,3,True
10,9,17,1,1,0,2,1,True
10,13,32,6,5,0,2,2,True
10,24,30,10,4,1,3,1,True
10,15,26,10,7,1,0,2,True
10,6,7,1,0,0,2,2,True
10,15,28,7,6,2,1,2,True
10,7,16,2,1,1,1,2,True
10,10,23,3,3,1,1,1,True
10,15,32,8,5,2,1,2,True
10,17,24,7,3,0,2,3,True
10,6,13,1,2,1,1,1,True
10,9,23,4,1,0,2,1,True
10,9,22,6,2,1,1,1,True
10,13,19,6,5,1,0,2,True
10,4,7,4,2,0,1,1,True
10,7,17,1,1,1,1,2,True
10,11,21,0,2,0,1,1,True
10,4,8,0,1,0,1,1,True
10,24,38,7,3,1,0,2,True
10,11,32,1,3,1,1,2,True
10,8,26,0,3,0,1,2,True
10,9,15,4,1,0,1,3,True
10,8,11,4,2,0,1,1,True
10,5,8,0,1,0,1,1,True
10,11,16,6,5,0,1,1,True
10,7,12,2,4,3,1,0,True
10,10,38,1,0,0,1,0,True
10,9,20,4,2,0,0,2,True
10,12,15,4,3,1,1,1,True
10,4,6,5,2,1,1,0,True
10,2,10,4,1,1,1,0,True
10,6,10,0,1,0,0,1,True
10,18,30,4,6,0,1,0,True
10,3,8,4,1,2,0,0,True
10,2,7,3,1,1,1,0,True
10,1,1,0,1,0,0,1,True
10,2,3,3,1,0,1,0,True
10,1,2,0,0,0,1,0,True
10,6,9,3,1,0,1,0,True
10,4,4,4,1,0,0,0,True
10,3,3,2,0,0,0,1,True
10,1,2,3,1,1,0,0,True
10,1,3,0,0,0,1,0,True
10,0,0,0,0,0,0,0,True
10,2,2,1,1,1,0,0,True
10,2,8,0,1,0,0,1,True
10,11,21,0,3,0,0,3,True
10,3,26,3,1,0,0,1,True
