@relation 'SemanalAcumulada_7-MediaFinal_2-weka.filters.unsupervised.attribute.Remove-R1,10-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT1=13)'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

13,18,30,4,6,2,1,1,False
13,16,25,9,5,3,1,2,False
13,14,23,7,3,2,1,1,False
13,18,35,6,3,1,1,1,False
13,8,20,2,3,1,1,1,False
13,13,34,4,5,2,1,1,False
13,19,25,6,3,2,0,1,False
13,12,32,6,3,1,1,1,False
13,18,36,3,6,1,1,1,False
13,20,37,6,5,2,1,1,False
13,34,46,5,4,2,2,2,False
13,21,33,8,3,2,1,2,False
13,16,33,6,2,1,1,2,False
13,28,36,4,5,1,2,1,False
13,11,22,7,2,2,1,1,False
13,41,45,12,6,1,1,1,False
13,10,25,5,3,1,0,2,False
13,22,30,4,5,2,1,1,False
13,13,27,7,2,4,1,1,False
13,20,31,4,5,2,1,2,False
13,42,43,19,5,3,2,1,False
13,22,33,3,6,1,1,2,False
13,29,33,7,4,2,1,2,False
13,28,37,9,3,2,1,1,False
13,23,33,9,5,2,1,2,False
13,19,30,10,2,4,1,1,False
13,20,34,6,5,2,1,2,False
13,43,49,6,4,1,2,1,False
13,24,36,4,6,2,1,1,False
13,4,10,3,3,2,0,0,False
13,12,19,2,6,2,1,1,False
13,19,39,9,5,1,1,1,False
13,11,40,7,2,6,1,1,False
13,21,28,11,4,3,1,2,False
13,15,23,2,5,0,1,1,False
13,22,33,4,2,1,1,1,False
13,14,16,4,3,1,2,0,False
13,12,30,2,4,0,1,1,False
13,13,34,9,4,5,1,2,False
13,18,30,8,6,1,1,1,False
13,10,24,10,3,1,0,2,False
13,11,35,5,3,1,1,2,False
13,13,23,3,4,0,1,1,False
13,24,41,5,6,2,1,2,False
13,16,31,4,4,1,1,1,False
13,18,38,6,3,2,1,2,False
13,19,29,8,4,2,1,2,False
13,18,25,4,4,2,2,2,False
13,18,35,3,2,2,1,1,False
13,13,22,2,2,2,1,1,False
13,14,23,6,2,3,0,2,False
13,9,34,5,2,2,0,1,False
13,18,21,2,3,1,0,1,False
13,14,35,2,4,1,1,1,False
13,10,33,3,3,2,1,2,False
13,10,14,3,4,2,0,0,False
13,4,6,0,0,0,0,1,False
13,17,24,8,6,2,0,1,False
13,18,40,4,5,1,1,1,False
13,13,15,1,2,3,1,0,False
13,14,20,2,3,0,0,1,False
13,7,17,1,3,0,0,1,False
13,13,18,4,4,1,0,2,False
