@relation 'SemanalAcumulada_8-MediaFinal_2-weka.filters.unsupervised.attribute.Remove-R1,10-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT1=17)'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

17,19,31,4,6,2,1,2,False
17,19,27,11,5,2,1,5,False
17,18,31,9,4,2,1,3,False
17,21,41,2,3,1,1,3,False
17,14,31,4,4,1,1,3,False
17,11,41,3,4,1,1,1,False
17,22,27,3,3,1,1,4,False
17,20,42,5,2,1,1,2,False
17,19,39,3,6,1,1,2,False
17,26,43,5,6,2,1,3,False
17,38,53,8,3,1,1,4,False
17,24,34,10,4,1,1,5,False
17,18,39,3,2,1,1,4,False
17,22,34,3,4,1,1,2,False
17,19,29,4,2,1,1,2,False
17,43,52,7,5,1,1,2,False
17,14,32,5,2,1,1,4,False
17,26,34,3,6,1,1,1,False
17,16,24,4,2,0,1,4,False
17,23,39,2,5,1,1,4,False
17,46,48,20,4,6,1,2,False
17,22,38,2,6,1,1,3,False
17,31,38,8,4,1,1,3,False
17,37,47,5,3,1,1,2,False
17,23,35,6,5,1,1,4,False
17,14,35,3,2,2,1,2,False
17,22,37,8,5,1,1,5,False
17,46,55,5,4,2,1,2,False
17,29,45,4,6,1,1,2,False
17,10,15,2,4,1,1,0,False
17,12,21,1,6,1,1,3,False
17,17,38,2,5,1,1,1,False
17,15,45,5,3,1,1,4,False
17,21,28,15,4,2,1,5,False
17,15,28,0,5,0,1,2,False
17,24,37,2,1,1,1,2,False
17,11,14,1,2,1,1,1,False
17,11,28,5,5,0,1,1,False
17,19,36,8,4,1,1,4,False
17,16,33,7,5,1,1,3,False
17,14,34,8,3,0,1,3,False
17,21,44,4,4,1,1,3,False
17,17,27,0,4,0,1,2,False
17,29,47,6,7,1,1,5,False
17,19,35,7,4,1,1,2,False
17,22,44,7,3,1,1,4,False
17,24,33,8,5,1,1,3,False
17,20,31,3,4,1,1,3,False
17,17,38,3,2,1,1,4,False
17,18,28,1,2,1,1,2,False
17,14,31,5,3,2,1,2,False
17,15,46,6,4,3,1,4,False
17,22,29,1,4,0,1,2,False
17,18,39,1,4,1,1,3,False
17,11,35,3,2,1,1,4,False
17,9,20,2,2,1,1,1,False
17,9,11,1,1,0,0,2,False
17,16,28,6,4,0,0,3,False
17,25,45,4,5,1,1,3,False
17,15,16,1,2,3,1,1,False
17,29,31,7,4,0,0,3,False
17,5,19,0,1,0,0,1,False
17,17,22,3,4,0,0,5,False
17,6,29,0,3,0,0,2,False
17,12,27,0,2,0,1,2,False
17,3,12,0,2,0,1,1,False
17,9,34,0,0,0,0,3,False
17,32,46,2,6,1,1,3,False
17,4,13,0,1,0,1,1,False
17,14,14,1,2,0,0,2,False
17,28,41,7,2,1,0,3,False
17,9,15,1,2,1,0,2,False
17,10,25,1,2,0,0,2,False
17,31,37,2,2,0,0,4,False
17,15,22,3,4,0,1,4,False
17,5,9,4,0,1,0,2,False
17,15,21,5,3,1,1,3,False
